product_id,base_price,demand,inventory,competitor_price,day_of_week,hour_of_day,is_weekend,is_holiday,price_elasticity,price_change_pct,demand_ratio,inventory_ratio,price_gap,competitor_discount,demand_inventory_product,competitor_elasticity,demand_hour_interaction,demand_weekend,demand_holiday,product_category_apparel,product_category_books,product_category_electronics,product_category_food,product_category_home,season_monsoon,season_spring,season_summer,season_winter,customer_segment_budget,customer_segment_premium,customer_segment_regular
2055,1993.48,130.93,8197,2202.86,1,9,0,0,-1.5253,-4.6216,0.13093000000000002,0.8197,-0.10503240564239426,-0.09504916336035885,107.32332099999999,3360.0223580000006,104.74400000000001,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0
40513,699.18,20.4,7820,585.55,1,9,0,0,-0.8388,-15.674,0.020399999999999998,0.782,0.16251895077090306,0.1940568696097686,15.9528,491.15933999999993,16.32,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,1
37828,3054.23,42.56,8140,2682.48,0,17,0,0,-1.4937,-7.1791,0.04256,0.814,0.1217164391679736,0.13858444424562344,34.643840000000004,4006.820376,34.048,0.0,0.0,0,0,0,0,1,0,1,0,0,0,1,0
45102,9305.37,108.85,531,8823.71,6,7,1,0,-1.285,5.366,0.10884999999999999,0.0531,0.051761509751896126,0.05458701611907029,5.779935,11338.467349999999,87.08,108.85,0.0,0,0,0,0,1,0,1,0,0,0,0,1
26411,24877.96,65.8,8016,27642.5,2,5,0,0,-1.9923,-22.3072,0.0658,0.8016,-0.11112406322704921,-0.10001049109161621,52.745279999999994,55072.15275,52.64,0.0,0.0,0,0,1,0,0,0,0,0,1,1,0,0
20184,43553.65,134.16,226,37346.96,0,7,0,0,-1.6063,-5.8583,0.13416,0.0226,0.14250677038549012,0.16618996566253325,3.032016,59990.421848,107.328,0.0,0.0,0,0,1,0,0,0,0,0,1,1,0,0
32856,3541.26,324.95,6142,3240.4,5,12,1,0,-1.8754,-2.1358,0.32494999999999996,0.6142,0.08495846111271133,0.09284656215282068,199.58428999999998,6077.04616,259.96,324.95,0.0,0,0,1,0,0,1,0,0,0,0,0,1
14692,1323.35,12.39,7482,1511.32,4,11,0,0,-0.9666,-9.1297,0.01239,0.7482,-0.14204103222881326,-0.12437471878887332,9.270198,1460.8419119999999,9.912,0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0
15539,11562.76,123.64,2099,12175.22,4,0,0,0,-1.0368,-8.4408,0.12364,0.2099,-0.052968322442046634,-0.05030381381198854,25.952036000000003,12623.268095999998,98.912,0.0,0.0,0,0,0,0,1,0,0,0,1,1,0,0
10450,11512.56,26.18,7313,12756.3,1,8,0,0,-1.491,-16.4392,0.02618,0.7313,-0.10803331318142965,-0.09750005879447801,19.145433999999998,19019.6433,20.944000000000003,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,1
